Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,PiezzoBuzzer,
C1,C_1206_3216Metric,1,100nF,
D1,D_A-405_P10.16mm_Horizontal,1,1n4007,
"H1, H10, H11, H2, H3, H4, H8, H9",MountingHole_3.2mm_M3_Pad_Via,8,MountingHole_Pad,
"H12, H5",KiCad-Logo2_5mm_SilkScreen,2,MountingHole,
"H13, H6",OSHW-Logo2_7.3x6mm_SilkScreen,2,MountingHole,
"H14, H7",Symbol_CC-ShareAlike_SilkscreenTop_Small,2,MountingHole,
"H15, H16",WEEE-Logo_4.2x6mm_SilkScreen,2,MountingHole,
J1,JST_XH_S6B-XH-A-1_1x06_P2.50mm_Horizontal,1,Data & Power 5V,
J2,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Interrupt OUT,
J3,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Power 5V,
L1,L_1210_3225Metric,1,20uH,
R1,R_1206_3216Metric,1,100K,
RV1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,47K,
RV2,Potentiometer_ACP_CA9-V10_Vertical,1,47K,
U1,SSOP-48_7.5x15.9mm_P0.635mm,1,HT1621B,
U2,DE113-XX-XX,1,DE113-XX-XX,
Y1,Crystal_AT310_D3.0mm_L10.0mm_Horizontal,1,32768,
